1 0 3769
2 3769 2437
3 6206 2062
4 8268 2532
5 10800 3458
6 14258 2484
7 16742 2539
8 19281 20288
9 39569 8419
10 47988 4393
11 52381 4497
12 56878 4166
13 61044 1556
14 62600 4508
15 67108 1386
16 68494 1204
17 69698 1502
18 71200 7450
19 78650 2202
20 80852 18049
21 98901 8902
22 107803 5699
23 113502 4047
24 117549 3584
25 121133 2076
26 123209 16396
27 139605 4483
28 144088 1176
29 145264 1950
30 147214 1376
31 148590 8199
32 156789 5195
33 161984 6867
34 168851 1952
35 170803 8228
36 179031 7585
37 186616 8529
38 195145 5001
39 200146 6768
40 206914 15115
41 222029 7565
42 229594 5105
43 234699 1393
44 236092 1594
45 237686 2176
46 239862 1370
47 241232 841
48 242073 6395
49 248468 2156
50 250624 8321
51 258945 4247
52 263192 1900
53 265092 5261
54 270353 5493
55 275846 9140
56 284986 4716
57 289702 9549
58 299251 3796
59 303047 1097
60 304144 1449
61 305593 1382
62 306975 9103
63 316078 320
64 316398 1752
65 318150 792
66 318942 1479
67 320421 12577
68 332998 8057
69 341055 4102
70 345157 5024
71 350181 4487
72 354668 8964
73 363632 2241
74 365873 5388
75 371261 2949
76 374210 3134
77 377344 1705
78 379049 8115
79 387164 3713
80 390877 14195
81 405072 3306
82 408378 3900
83 412278 4336
84 416614 11616
85 428230 953
86 429183 8027
87 437210 6289
88 443499 805
89 444304 5705
90 450009 15723
91 465732 939
92 466671 6088
93 472759 700
94 473459 5284
95 478743 8085
96 486828 1464
97 488292 4386
98 492678 724
99 493402 8936
100 502338 1384
101 503722 483
102 504205 3174
103 507379 2122
104 509501 10205
105 519706 1138
106 520844 1354
107 522198 5193
108 527391 2544
109 529935 6666
110 536601 7837
111 544438 1429
112 545867 1783
113 547650 2257
114 549907 3425
115 553332 1969
116 555301 2113
117 557414 6060
118 563474 2087
119 565561 1468
120 567029 1118
121 568147 3189
122 571336 6326
123 577662 1995
124 579657 2403
125 582060 2620
126 584680 2624
127 587304 3614
128 590918 1424
129 592342 8507
130 600849 3921
131 604770 1491
132 606261 10457
133 616718 4111
134 620829 7214
135 628043 10047
136 638090 3371
137 641461 6507
138 647968 4384
139 652352 4673
140 657025 3005
141 660030 1332
142 661362 3085
143 664447 1968
144 666415 1681
145 668096 1727
146 669823 3365
147 673188 2076
148 675264 2141
149 677405 995
150 678400 1905
151 680305 3969
152 684274 2210
153 686484 5410
154 691894 1756
155 693650 1908
156 695558 2556
157 698114 2206
158 700320 2391
159 702711 2198
160 704909 1805
161 706714 2395
162 709109 6030
163 715139 4966
164 720105 1640
165 721745 13687
166 735432 5384
167 740816 988
168 741804 14517
169 756321 1866
170 758187 1617
171 759804 1107
172 760911 1529
173 762440 1776
174 764216 6090
175 770306 3000
176 773306 3090
177 776396 2398
178 778794 1966
179 780760 2862
180 783622 5415
181 789037 15404
182 804441 7251
